date,internal_id,close,tradable_volume,mkt_cap,volat_21,fx_to_usd
20200804,40044140,100.28,10868,213102240159,0.015174,1.17649965
20200804,40044631,190.7,344472,7249321773,0.019952,0.15793796
20200804,40048791,2146,1590715,20657680384,0.023012,0.013057
20200804,40060061,30.94,7001,28791253203,0.03314,1.17649965
20200804,41002414,28,13645,164709952,0.060542,1.17649965
20200804,41009729,155,956046,11643801512,0.059672,0.10967438
20200804,41010611,52.5,3625,168764227,0.06128,0.013057
20200805,40014265,371.4,269682,7242133419,0.022555,0.11553882
20200805,40044140,108.94,50779,234206116704,0.023951,1.18970005
20200805,40044631,191.7,361004,7368096980,0.019968,0.15968829
20200805,40048791,2195,1307146,21263683015,0.023384,0.01314
20200805,40060061,31.185,687,29344835868,0.030891,1.18970005
20200805,41002414,28.9,27966,171911658,0.060692,1.18970005
20200805,41009729,158.7,748887,12150966059,0.059129,0.11178305
20200805,41010611,52.5,0,169837084,0.06128,0.01314
20200806,40014265,374.7,303565,7272869988,0.022052,0.1150073
20200806,40044140,107.84,22744,231081120867,0.023736,1.18579934
20200806,40044631,193.2,368212,7401991891,0.019933,0.15917737
20200806,40048791,2204,969524,21363866351,0.022697,0.013148
20200806,40060061,31.37,2356,29422134671,0.030913,1.18579934
20200806,41002414,28.9,15402,171348005,0.060381,1.18579934
20200806,41009729,162.2,1248040,12380472606,0.058729,0.11143675
20200806,41010611,60,3703,194217683,0.065649,0.013148
20200807,40014265,374.2,295442,7216934057,0.021912,0.11427527
20200807,40044140,110.92,14043,236077490305,0.023921,1.17779942
20200807,40044631,198.2,274459,7544437863,0.020522,0.15814777
20200807,40048791,2240,1074672,21539418905,0.022815,0.013043
20200807,40060061,32.07,3063,29875745603,0.031254,1.17779942
20200807,41002414,27.95,9713,164597469,0.061131,1.17779942
20200807,41009729,160.1,818161,12100575473,0.059346,0.11034605
20200807,41010611,62.5,3766,200694392,0.065279,0.013043
20200810,40014265,371,203109,7161273730,0.022006,0.11437198
20200810,40044140,110.24,6381,234172090059,0.024002,1.17549976
20200810,40044631,199.5,318407,7580973795,0.020243,0.15787812
20200810,40048791,2201,1100857,21227695348,0.023258,0.013082
20200810,40060061,31.975,28995,29729085828,0.030957,1.17549976
20200810,41002414,28.95,12438,170153591,0.061402,1.17549976
20200810,41009729,155.2,760354,11774532028,0.060763,0.11076282
20200810,41010611,62.5,100,201294578,0.057081,0.013082
20200811,40014265,370.2,220771,7149102258,0.022013,0.11442433
20200811,40044140,112.14,10864,238390503336,0.023725,1.1764
20200811,40044631,205,397195,7794526237,0.02061,0.1579704
20200811,40048791,2238,1639282,21574637779,0.022575,0.013076
20200811,40060061,31.81,3528,29598325506,0.027956,1.1764
20200811,41002414,27.8,19588,163519601,0.061883,1.1764
20200811,41009729,155.3,783012,11835605270,0.060982,0.11126565
20200811,41010611,62.5,1767,201202190,0.057081,0.013076
20200812,40014265,365.2,545186,7091330875,0.020848,0.11505361
20200812,40044140,112,7176,238659458865,0.023194,1.17919939
